component	configuration	source	mesh	status
中间机构-1/碳纤维支撑板-1	默认	D:\document\yyj\agi\sw_source\直线电机\碳纤维支撑板.SLDPRT	mesh_0001.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/弹簧-5	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\弹簧.SLDPRT	mesh_0002.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/压板-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\压板.SLDPRT	mesh_0003.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/夹板-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\夹板.SLDPRT	mesh_0004.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/盖子-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\盖子.SLDPRT	mesh_0005.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/底座-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\底座.SLDPRT	mesh_0006.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/球关节-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\球关节.SLDPRT	mesh_0007.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/滚刷-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\滚刷.SLDPRT	mesh_0008.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/折展机构-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\折展机构.SLDPRT	mesh_0009.stl	ok=True;errors=0;warnings=0
中间机构-1/弹簧测试-1/支架-1	默认	D:\document\yyj\agi\sw_source\直线电机\弹簧关节\支架.SLDPRT	mesh_0010.stl	ok=True;errors=0;warnings=0
中间机构-1/折展机构悬挂板2-1	默认	D:\document\yyj\agi\sw_source\直线电机\折展机构悬挂板2.SLDPRT	mesh_0011.stl	ok=True;errors=0;warnings=0
中间机构-1/折展机构悬挂板-1	默认	D:\document\yyj\agi\sw_source\直线电机\折展机构悬挂板.SLDPRT	mesh_0012.stl	ok=True;errors=0;warnings=0
中间机构-1/直线电机-1	默认	D:\document\yyj\agi\sw_source\直线电机\直线电机.SLDPRT	mesh_0013.stl	ok=True;errors=0;warnings=0
铝合金总体框架-1/4040铝型材-100-16	Default	D:\document\yyj\agi\sw_source\总体框架\4040铝型材-100.SLDPRT	mesh_0014.stl	ok=True;errors=0;warnings=0
铝合金总体框架-1/4040铝型材-1000-3	Default	D:\document\yyj\agi\sw_source\总体框架\4040铝型材-1000.SLDPRT	mesh_0015.stl	ok=True;errors=0;warnings=0
铝合金总体框架-1/4040铝型材-620-1	Default	D:\document\yyj\agi\sw_source\总体框架\4040铝型材-620.SLDPRT	mesh_0016.stl	ok=True;errors=0;warnings=0
4040连接件-2	默认	D:\document\yyj\agi\sw_source\承重\4040连接件.SLDPRT	mesh_0017.stl	ok=True;errors=0;warnings=0
碳纤维——200-2	默认	D:\document\yyj\agi\sw_source\水桶框架\碳纤维——200.SLDPRT	mesh_0018.stl	ok=True;errors=0;warnings=0
直线电机连接角码-5	默认	D:\document\yyj\agi\sw_source\总体框架\直线电机连接角码.SLDPRT	mesh_0019.stl	ok=True;errors=0;warnings=0
风扇固定板-2	默认	D:\document\yyj\agi\sw_source\螺旋桨\风扇固定板.SLDPRT	mesh_0020.stl	ok=True;errors=0;warnings=0
简化风扇架-2	默认	D:\document\yyj\agi\sw_source\螺旋桨\简化风扇架.SLDPRT	mesh_0021.stl	ok=True;errors=0;warnings=0
升降机版本-2/固定板-2	默认	D:\document\yyj\agi\sw_source\承重\固定板.SLDPRT	mesh_0022.stl	ok=True;errors=0;warnings=0
升降机版本-2/角码-3	默认	D:\document\yyj\agi\sw_source\承重\角码.SLDPRT	mesh_0023.stl	ok=True;errors=0;warnings=0
升降机版本-2/升降机-1	默认	D:\document\yyj\agi\sw_source\承重\升降机.SLDPRT	mesh_0024.stl	ok=True;errors=0;warnings=0
升降机版本-2/CyberGearmotor-1	默认	D:\document\yyj\agi\第二版结构20260817\CyberGearmotor.SLDPRT	mesh_0025.stl	ok=True;errors=0;warnings=0
升降机版本-2/挡板-1	默认	D:\document\yyj\agi\sw_source\承重\挡板.SLDPRT	mesh_0026.stl	ok=True;errors=0;warnings=0
升降机版本-2/挡板2-1	默认	D:\document\yyj\agi\sw_source\承重\挡板2.SLDPRT	mesh_0027.stl	ok=True;errors=0;warnings=0
升降机版本-2/电机板-1	默认	D:\document\yyj\agi\sw_source\承重\电机板.SLDPRT	mesh_0028.stl	ok=True;errors=0;warnings=0
升降机版本-2/连接板-1	默认	D:\document\yyj\agi\sw_source\承重\连接板.SLDPRT	mesh_0029.stl	ok=True;errors=0;warnings=0
升降机版本-2/轴-1	默认	D:\document\yyj\agi\sw_source\承重\轴.SLDPRT	mesh_0030.stl	ok=True;errors=0;warnings=0
碳纤维——230-1	默认	D:\document\yyj\agi\sw_source\水桶框架\碳纤维——230.SLDPRT	mesh_0031.stl	ok=True;errors=0;warnings=0
方水桶框架-1/4040铝型材_280-1	Default	D:\document\yyj\agi\sw_source\水桶框架新\4040铝型材_280.SLDPRT	mesh_0032.stl	ok=True;errors=0;warnings=0
方水桶框架-1/Corner40-1	По умолчанию	D:\document\yyj\agi\sw_source\总体框架\Corner40.SLDPRT	mesh_0033.stl	ok=True;errors=0;warnings=0
方水桶框架-1/方形水桶-1	默认	D:\document\yyj\agi\sw_source\水桶框架新\方形水桶.SLDPRT	mesh_0034.stl	ok=True;errors=0;warnings=0
方水桶框架-1/4040铝型材_200-1	Default	D:\document\yyj\agi\sw_source\水桶框架新\4040铝型材_200.SLDPRT	mesh_0035.stl	ok=True;errors=0;warnings=0
方水桶框架-1/4040铝型材_360-1	Default	D:\document\yyj\agi\sw_source\水桶框架新\4040铝型材_360.SLDPRT	mesh_0036.stl	ok=True;errors=0;warnings=0
方水桶框架-1/4040铝型材_180-1	Default	D:\document\yyj\agi\sw_source\水桶框架新\4040铝型材_180.SLDPRT	mesh_0037.stl	ok=True;errors=0;warnings=0
救援-1	默认	D:\document\yyj\agi\sw_source\绳索\救援.SLDPRT	mesh_0038.stl	ok=True;errors=0;warnings=0
